objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid,w1,w2
1237646796525797723,118.605868569725,-0.252900451053716,18.34568,17.07895,16.64373,16.49427,16.46364,308,301,2,82,8389214459365971968,STAR,0.0002590341,7451,56739,488,15.16817,15.34635
1237646796526191204,119.564323782598,-0.312709992204892,17.46082,16.22732,15.76486,15.59897,15.52217,308,301,2,88,8389176251336906752,STAR,0.0002119629,7451,56739,349,14.1415,14.15419
1237646796526322124,119.805986411135,-0.381457360872843,18.16232,16.92756,16.50543,16.3485,16.3024,308,301,2,90,8389163881831094272,STAR,0.0001789632,7451,56739,304,14.91772,15.20428
1237646796526452825,120.037321642244,-0.306640296119091,17.88045,16.23301,15.70241,15.54354,15.50507,308,301,2,92,8389143540865980416,STAR,-4.773989E-05,7451,56739,230,14.15057,14.30832
1237646796526453548,120.07850010091,-0.337299181954913,19.247,17.76603,17.23602,17.06848,17.01554,308,301,2,92,8389144640377608192,STAR,-4.955852E-06,7451,56739,234,15.66362,16.02051
1237648673994834126,242.907661769286,-0.143806295397067,18.35851,17.06477,16.52053,16.29901,16.1961,745,301,3,562,389646058566739968,STAR,-0.0001377841,346,51693,308,14.78208,14.69599
1237648673995030751,243.3856545373,-0.0586181936032617,18.57137,18.60205,17.94477,17.47239,17.17794,745,301,3,565,389633689060927488,STAR,4.548636E-05,346,51693,263,14.92416,14.90084
1237648673996079198,245.670640571583,-0.0235160221722781,18.03349,16.99499,16.80437,16.74506,16.71893,745,301,3,581,389570467142330368,STAR,-0.0003348804,346,51693,33,15.76767,16.56957
1237650371019276358,180.996623013251,-2.10760528601781,19.03228,17.01462,16.03788,15.60375,15.24986,1140,301,4,188,372834811980572672,GALAXY,0.0992294,331,52368,589,12.61348,12.54123
1237650371022094508,187.553264570585,-2.11611383871082,18.58921,16.99287,16.18829,15.76669,15.42463,1140,301,4,231,376201235415459840,GALAXY,0.08276853,334,51993,548,12.86265,12.73648
1237650371025305721,194.811792318047,-2.07695614743366,19.41761,18.29112,18.00381,17.78615,17.69614,1140,301,4,280,380696858567141376,GALAXY,0.07962368,338,51694,519,15.48876,15.51875
1237650371025436749,195.099221696322,-2.22654528850532,19.22492,18.00258,17.44676,17.09649,16.89163,1140,301,4,282,381776578952062976,GALAXY,0.08655296,339,51692,351,14.17186,13.9544
1237651533872562224,130.042340215058,53.1385204370836,18.16746,17.20609,16.89818,16.74711,16.71842,1411,301,2,49,8221562030454495232,STAR,-0.0008476617,7302,57012,876,14.91689,14.75201
1237651533872562267,130.125871243184,53.1902056227247,18.36342,16.52342,15.77369,15.49122,15.36015,1411,301,2,49,2607600465076054016,STAR,-4.302578E-05,2316,53757,59,13.66581,13.70101
1237651533872627758,130.272068022226,53.2877089570379,17.61817,16.28063,15.74938,15.56705,15.4754,1411,301,2,50,2607612284826052608,STAR,-0.0001038864,2316,53757,102,14.05165,14.10712
1237651533872758827,130.580401500113,53.45360324454,17.67571,15.81457,15.10882,14.83659,14.6979,1411,301,2,52,2607614483849308160,STAR,-3.894506E-05,2316,53757,110,13.0375,13.04317
1237651533872824328,130.730582982011,53.5555546720246,16.80489,15.46373,14.95546,14.782,14.71316,1411,301,2,53,2607603488733030400,STAR,3.825885E-05,2316,53757,70,13.30052,13.3189
1237651533872824330,130.5997956686,53.6320842770301,18.14926,16.8666,16.32965,16.1001,15.9794,1411,301,2,53,2607615308483028992,STAR,-1.362464E-05,2316,53757,113,14.46134,14.43115
1237651533872824378,130.780134279724,53.5797287936209,19.13779,17.59052,17.02015,16.83323,16.74746,1411,301,2,53,2607603763610937344,STAR,-0.000266064,2316,53757,71,15.38697,15.29313
1237651533872824457,130.660084174673,53.5868815167944,19.27827,19.32741,19.31249,19.0025,19.00464,1411,301,2,53,5805158161028765696,QSO,1.880522,5156,55925,66,16.14847,14.92869
1237651533872889906,130.993654875406,53.7243245833923,19.09394,17.04432,16.29718,16.0895,15.98363,1411,301,2,54,2607605687756285952,STAR,1.206034E-05,2316,53757,78,14.34983,14.32596
1237651533873086535,131.364336938645,54.0737510869702,17.33111,15.91306,15.42666,15.24881,15.17476,1411,301,2,57,2607747799634176000,STAR,-0.0002727115,2316,53757,595,13.76792,13.81252
1237651533873086581,131.33399812152,54.1665141830803,18.3468,17.32787,17.07456,16.97588,16.91201,1411,301,2,57,3565794080225075200,STAR,-0.0006625591,3167,54822,251,15.66112,15.62444
1237651533873086593,131.334912049387,54.2123218422851,17.5081,15.84302,15.31513,15.13078,15.06095,1411,301,2,57,2607746975000455168,STAR,-0.0002742266,2316,53757,592,13.65123,13.70584
1237651533873152067,131.487542029014,54.2834829198321,17.61889,16.58748,16.18591,16.05365,16.00755,1411,301,2,58,2607754946459756544,STAR,0.000262497,2316,53757,621,14.69977,14.7797
1237651533873152084,131.537081339397,54.287293074852,18.35061,17.36478,17.06114,16.92427,16.85657,1411,301,2,58,3565783359986704384,STAR,-0.0001036123,3167,54822,212,15.65292,15.73252
1237651533874003977,133.868856796857,55.5347974235184,17.66707,16.46954,16.05342,15.90261,15.84618,1411,301,2,71,3565887263835529216,STAR,-1.53425E-05,3167,54822,590,14.52713,14.55952
1237651533874004043,134.013922111555,55.6343526023237,17.87412,16.65833,16.3937,16.26393,16.2442,1411,301,2,71,543872359447160832,STAR,0.0002365631,483,51924,228,15.03222,15.03273
1237651533874069765,134.125751749888,55.7743657310996,19.59507,17.75057,17.00256,16.71214,16.56092,1411,301,2,72,3565897159440179200,STAR,-0.0001680082,3167,54822,626,14.8836,14.82264
1237651533874200752,134.374632817343,55.8861384026056,19.06909,17.67764,17.12305,16.90525,16.80796,1411,301,2,74,3565897434318086144,STAR,-0.0005587534,3167,54822,627,15.34068,15.269
1237651533874724907,136.077888251969,56.7643473453974,18.15502,17.00419,17.15747,17.30852,17.42393,1411,301,2,82,543833876540188672,STAR,0.0002054698,483,51924,88,16.7488,16.55256
1237651539792298237,219.722698365832,64.1718917880803,19.57014,17.78499,17.32834,17.07405,16.95464,1412,301,5,265,561997259948976128,GALAXY,0.03613862,499,51988,630,14.77576,14.57563
1237651540315930817,147.142569698932,63.6638121186557,19.44523,18.01997,17.22605,16.78284,16.44224,1412,301,6,63,548406470840969216,GALAXY,0.09862633,487,51943,339,13.82364,13.59821
1237651540323532981,189.28949695655,68.6505890238285,18.84877,17.62263,17.05437,16.7198,16.4559,1412,301,6,179,556349892126074880,GALAXY,0.04675511,494,51915,565,13.89266,13.72451
1237651540324450499,194.863030281081,68.3498937012504,19.48535,17.51679,16.58776,16.17652,15.81653,1412,301,6,193,557464798141376512,GALAXY,0.09933908,495,51988,525,13.28088,13.20672
1237651540325892251,203.189784498867,67.5878189643891,19.16916,18.31622,18.04081,17.77528,17.71342,1412,301,6,215,558614062670309376,GALAXY,0.09392501,496,51988,610,15.27385,15.15624
