objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid
1237660635997798607,163.973278324562,45.9609868330887,19.59332,19.47044,19.41898,19.24323,19.14768,3530,301,4,290,8322694285008066560,QSO,1.702919,7392,56992,153
1237655123933724801,180.408861690821,3.8131083698511,17.68916,15.97373,15.15367,14.68167,14.36919,2247,301,1,131,946893956128466944,QSO,0.07351141,841,52375,44
1237671939822911914,328.968606466914,45.8202573110515,17.62808,16.22809,15.67356,15.46072,15.33882,6162,301,3,413,2877904957481183232,STAR,-1.713977E-05,2556,54000,381
1237671939807903855,275.585577715574,64.286976581019,16.81685,15.82498,15.52172,15.38394,15.35682,6162,301,3,184,2873394496509339648,STAR,-0.0008999362,2552,54632,356
1237678860065964720,322.167440915072,10.0626491886869,19.58341,19.48789,19.08715,18.91311,18.85229,7773,301,5,62,821933086768916480,QSO,1.418552,730,52466,95
1237663788486623568,110.544135395981,41.0074065248613,17.65292,16.13181,15.44886,15.15169,14.99401,4264,301,4,28,3608654968057339904,STAR,-2.806454E-05,3205,54848,530
1237663788487409792,111.513340183329,42.598480668202,16.73921,15.76221,15.37943,15.21267,15.15262,4264,301,4,40,4119804735258908672,STAR,-0.0005008617,3659,55181,498
1237663788488917132,113.529834531571,45.7503396801152,18.14476,17.13474,16.79283,16.66507,16.62444,4264,301,4,63,6690291964204832768,STAR,-0.0007826039,5942,56210,708
1237663788491473069,117.434858780603,50.960033285443,18.37284,17.41093,17.06018,16.91058,16.87234,4264,301,4,102,4142306790946920448,STAR,-0.0001962735,3679,55209,440
1237663788494880804,124.094677076394,57.6525313325628,18.261,17.74013,17.29706,16.96099,16.70477,4264,301,4,154,5797489067743795200,QSO,2.074916,5149,55944,838
1237663788496126019,127.464542563457,60.0005202008423,18.66725,18.31861,18.09552,18.12488,17.95727,4264,301,4,173,2109987352528054272,QSO,0.9008714,1874,54452,185
1237663788498223316,133.883630753275,63.6856853000386,19.20346,18.12022,17.64951,17.44617,17.3637,4264,301,4,205,3697570825117999104,STAR,0.0004194636,3284,54907,420
1237678858481762449,23.6964221156131,11.4001921934131,18.58284,17.0415,16.23743,15.66362,15.38683,7773,301,2,465,5253490294859782144,QSO,0.08920185,4666,55832,150
1237678858464198837,342.697634059895,11.1076149435904,19.55744,17.46571,16.44621,15.97754,15.57301,7773,301,2,197,5685812775768840192,GALAXY,0.0820672,5050,56215,66
1237678858474750036,7.27335918300446,12.0079429289851,19.51252,17.58586,16.59778,16.18047,15.75792,7773,301,2,358,6969348015334381568,GALAXY,0.09274676,6190,56210,100
1237678858453254832,317.587412779703,8.08113265003877,19.45025,17.64879,16.5926,16.12621,15.74471,7773,301,2,30,4592769010849044480,GALAXY,0.1347309,4079,55363,812
1237678858473373890,4.19227401531305,11.8886529174984,19.45677,17.34142,16.30661,15.7031,15.20416,7773,301,2,337,6961508497428338688,GALAXY,0.111701,6183,56210,252
1237651538723143717,235.218155950149,56.8884580958311,18.33848,18.46341,18.90969,19.24222,19.58331,1412,301,3,335,7646040251300075520,STAR,-0.0006163447,6791,56429,196
1237651538724388950,238.833635505535,54.8487018377608,17.38635,16.42371,16.12971,16.01535,15.99269,1412,301,3,354,697061269445830656,STAR,-0.0007976263,619,52056,470
1237651538724520006,239.173208238702,54.6166243920721,19.29401,18.39978,18.09951,17.99964,18.0076,1412,301,3,356,7553878636904077312,STAR,-0.001157637,6709,56429,786
1237651538725240949,241.067311027599,53.4276971629475,18.81936,17.53505,17.0288,16.82453,16.75036,1412,301,3,367,2450048703306688512,STAR,-5.984752E-05,2176,54243,329
1237651538725437476,241.427226515375,53.0600261660752,16.41401,15.4792,15.25626,15.14567,15.12818,1412,301,3,370,2450087461091567616,STAR,-0.0009768917,2176,54243,470
1237662195067781212,198.520425134352,42.0949942350987,19.28464,17.96196,17.4366,17.08011,16.86222,3893,301,4,242,1643945858032494592,GALAXY,0.04592649,1460,53138,480
1237662195074334897,217.462361775489,38.0299654809467,19.02719,18.13684,17.69365,17.38194,17.25472,3893,301,4,342,1555017906511702016,GALAXY,0.127432,1381,53089,546
1237655499212456220,229.148641215319,-1.53295898042879,19.14618,18.90514,18.8648,18.60958,18.59392,2334,301,4,222,1039368656947013632,QSO,1.684446,923,52404,593
